Hour,Agent,Behavior,model,score,awake
0,Bruce,study,fuzzy,1.3,1
0,Clark,sleep,fuzzy,0.0,0
0,Diana,sleep,utility,0.0,0
0,Barry,lounge,utility,0.5136,1
0,Lex,sleep,rule,0.0,0
1,Bruce,cook,fuzzy,4.55,1
1,Clark,sleep,fuzzy,0.0,0
1,Diana,sleep,utility,0.0,0
1,Barry,sleep,utility,0.0,0
1,Lex,sleep,rule,0.0,0
2,Bruce,sleep,fuzzy,0.0,0
2,Clark,sleep,fuzzy,0.0,0
2,Diana,sleep,utility,0.0,0
2,Barry,sleep,utility,0.0,0
2,Lex,sleep,rule,0.0,0
3,Bruce,sleep,fuzzy,0.0,0
3,Clark,sleep,fuzzy,0.0,0
3,Diana,sleep,utility,0.0,0
3,Barry,sleep,utility,0.0,0
3,Lex,sleep,rule,0.0,0
4,Bruce,sleep,fuzzy,0.0,0
4,Clark,sleep,fuzzy,0.0,0
4,Diana,sleep,utility,0.0,0
4,Barry,sleep,utility,0.0,0
4,Lex,sleep,rule,0.0,0
5,Bruce,sleep,fuzzy,0.0,0
5,Clark,sleep,fuzzy,0.0,0
5,Diana,sleep,utility,0.0,0
5,Barry,sleep,utility,0.0,0
5,Lex,sleep,rule,0.0,0
6,Bruce,sleep,fuzzy,0.0,0
6,Clark,sleep,fuzzy,0.0,0
6,Diana,sleep,utility,0.0,0
6,Barry,sleep,utility,0.0,0
6,Lex,sleep,rule,0.0,0
7,Bruce,sleep,fuzzy,0.0,0
7,Clark,lounge,fuzzy,5.0,1
7,Diana,sleep,utility,0.0,0
7,Barry,sleep,utility,0.0,0
7,Lex,sleep,rule,0.0,0
8,Bruce,sleep,fuzzy,0.0,0
8,Clark,cook,fuzzy,4.57,1
8,Diana,cook,utility,0.49249999999999994,1
8,Barry,sleep,utility,0.0,0
8,Lex,study,rule,5.0,1
9,Bruce,sleep,fuzzy,0.0,0
9,Clark,play,fuzzy,5.0,1
9,Diana,study,utility,0.49679999999999996,1
9,Barry,cook,utility,0.9549,1
9,Lex,study,rule,5.0,1
10,Bruce,lounge,fuzzy,5.0,1
10,Clark,lounge,fuzzy,5.0,1
10,Diana,study,utility,0.4759,1
10,Barry,study,utility,0.49470000000000003,1
10,Lex,study,rule,5.0,1
11,Bruce,play,fuzzy,3.9,1
11,Clark,study,fuzzy,2.57,1
11,Diana,play,utility,0.4697,1
11,Barry,study,utility,0.4818,1
11,Lex,study,rule,5.0,1
12,Bruce,study,fuzzy,2.51,1
12,Clark,study,fuzzy,2.3499999999999996,1
12,Diana,study,utility,0.4548999999999999,1
12,Barry,cook,utility,0.6469,1
12,Lex,study,rule,5.0,1
13,Bruce,cook,fuzzy,4.65,1
13,Clark,cook,fuzzy,9.45,1
13,Diana,study,utility,0.5015,1
13,Barry,lounge,utility,0.4888,1
13,Lex,study,rule,5.0,1
14,Bruce,study,fuzzy,5.0,1
14,Clark,shower,fuzzy,4.75,1
14,Diana,cook,utility,0.8778000000000001,1
14,Barry,study,utility,0.6668000000000002,1
14,Lex,study,rule,5.0,1
15,Bruce,study,fuzzy,5.0,1
15,Clark,lounge,fuzzy,4.6,1
15,Diana,shower,utility,0.8982000000000001,1
15,Barry,cook,utility,0.7022000000000003,1
15,Lex,study,rule,5.0,1
16,Bruce,shower,fuzzy,5.0,1
16,Clark,cook,fuzzy,5.0,1
16,Diana,sleep,utility,0.28800000000000014,1
16,Barry,lounge,utility,0.7226000000000002,1
16,Lex,study,rule,5.0,1
17,Bruce,lounge,fuzzy,4.23,1
17,Clark,study,fuzzy,2.97,1
17,Diana,play,utility,0.5811000000000001,1
17,Barry,shower,utility,0.7430000000000002,1
17,Lex,study,rule,5.0,1
18,Bruce,cook,fuzzy,5.95,1
18,Clark,sleep,fuzzy,4.9,1
18,Diana,lounge,utility,0.6302857142857144,1
18,Barry,lounge,utility,0.6106857142857143,1
18,Lex,study,rule,5.0,1
19,Bruce,sleep,fuzzy,4.9,1
19,Clark,lounge,fuzzy,6.53,1
19,Diana,cook,utility,0.5555999999999999,1
19,Barry,lounge,utility,0.5205714285714287,1
19,Lex,study,rule,5.0,1
20,Bruce,lounge,fuzzy,6.53,1
20,Clark,lounge,fuzzy,2.9385000000000003,1
20,Diana,play,utility,0.565957142857143,1
20,Barry,sleep,utility,0.5400000000000001,1
20,Lex,study,rule,5.0,1
21,Bruce,sleep,fuzzy,4.9,1
21,Clark,study,fuzzy,3.9,1
21,Diana,lounge,utility,0.6253714285714287,1
21,Barry,play,utility,0.605157142857143,1
21,Lex,study,rule,5.0,1
22,Bruce,play,fuzzy,3.49,1
22,Clark,cook,fuzzy,4.75,1
22,Diana,shower,utility,0.8520000000000003,1
22,Barry,lounge,utility,0.615657142857143,1
22,Lex,study,rule,5.0,1
23,Bruce,lounge,fuzzy,4.15,1
23,Clark,sleep,fuzzy,0.0,0
23,Diana,play,utility,0.5455000000000001,1
23,Barry,sleep,utility,0.6012000000000002,1
23,Lex,sleep,rule,0.0,0
